name,blurb,slug,category,name_len,name_len_clean,launched_at_weekday,deadline_hr,created_at_month,launched_at_hr,create_to_launch_days,launch_to_deadline_days,SuccessfulBool,usd_goal,category_success_rate,category_popularity,category_median_goal,goal_vs_cat_median,location_popularity,location_success_rate
The Comedy Project,"An improv, sketch and experimental comedy and cocktail venue in downtown Grand Rapids, Michigan",the-comedy-project-0,Spaces,3.0,3.0,Wednesday,6,6,6,118,30,1,10.12667110305036,0.45054945054945056,5.209486152841421,9.392745258631441,0.5503881118261807,5.598421958998375,0.19557195571955718
Creation of the Dublin Circus Centre,"We are fundraising to create a Dublin based circus training centre for public and professionals to learn, upskill, perform and teach.",creation-of-the-dublin-circus-centre,Spaces,6.0,4.0,Sunday,8,7,8,10,45,1,8.386567224238256,0.45054945054945056,5.209486152841421,9.392745258631441,-0.6962314365453732,3.9318256327243257,0.38461538461538464
Let's Light Up The Gem!,"Bring the movies back to Bethel, Maine.",lets-light-up-the-gem,Spaces,5.0,5.0,Saturday,22,9,18,87,22,1,9.90353755128617,0.45054945054945056,5.209486152841421,9.392745258631441,0.4126342103437671,3.8918202981106265,0.3
The Gloria Theatre Project,We are a non-profit revitalizing the Gloria Theatre - our gift to the community - and we need your help #arts #community #theater,the-gloria-theatre-project,Spaces,4.0,4.0,Thursday,7,12,7,0,35,1,9.210440366976517,0.45054945054945056,5.209486152841421,9.392745258631441,-0.16746583128421139,5.707110264748875,0.23509933774834438
gimmeLIVE @ 9 Wallis,"A new intimate listening room with tables & theatre seating where artist & fans connect through music, comedy & performing arts.",gimmelive-9-wallis,Spaces,4.0,4.0,Thursday,14,12,14,15,22,1,9.04793908261736,0.45054945054945056,5.209486152841421,9.392745258631441,-0.2962498956166561,6.066108090103747,0.42592592592592593
Th'underGrounds,"Creating a non-profit CAFE & VILLAGE COMMONS in SE Portland, in service to Neighbors, Kids, Artists & the Underserved",thundergrounds,Spaces,1.0,1.0,Friday,13,9,13,6,30,1,8.006700845440367,0.45054945054945056,5.209486152841421,9.392745258631441,-0.8696369375808896,5.634789603169249,0.31316725978647686
"TRUE WEST: Think, Dog! Productions",Help us build the Kitchen from Hell!,true-west-think-dog-productions,Spaces,5.0,5.0,Thursday,14,12,14,46,30,1,6.90875477931522,0.45054945054945056,5.209486152841421,9.392745258631441,-1.2481783262988706,5.0369526024136295,0.2
Save Our Butts The Seat-quel,"Pretty please with popcorn on top!Help!!

Our family owned & operated Theatre in Fairfax VA is looking to get help upgrading our seats.",save-our-butts-the-seat-quel,Spaces,5.0,5.0,Saturday,22,9,7,24,30,1,11.51293546492023,0.45054945054945056,5.209486152841421,9.392745258631441,1.1378939635172878,5.568344503761097,0.23574144486692014
St. Michael Boat Parties - Halloween and Beyond!,Help the hosts of the infamous St. Michael sustain and create epic boat parties through Halloween and into 2015,st-michael-boat-parties-halloween-and-beyond,Spaces,8.0,7.0,Wednesday,6,9,6,2,30,1,6.21182219940669,0.45054945054945056,5.209486152841421,9.392745258631441,-1.430532049723577,7.633369649679584,0.3313981615868408
Help Austin's Blue Starlite Drive-in MOVE + ADD 35MM,"Keeping the drive-in culture alive for 6 years, we now ask for your help so we can CREATE A NEW HOME and save 35MM movies!",help-austins-blue-starlite-drive-in-move-convert-t,Spaces,9.0,9.0,Tuesday,9,3,9,289,30,1,9.61587214452889,0.45054945054945056,5.209486152841421,9.392745258631441,0.20141060103513836,6.80128303447162,0.21666666666666667
"Sea Tea Improv's Comedy Theater in Hartford, CT",A permanent home for comedy in Connecticut in the heart of downtown Hartford.,sea-tea-improvs-comedy-theater-in-hartford-ct,Spaces,8.0,7.0,Friday,16,3,16,5,60,1,10.463131911491967,0.45054945054945056,5.209486152841421,9.392745258631441,0.7277353786559279,4.804021044733257,0.2682926829268293
"A bigger, better home for the New Orleans comedy scene",The New Movement works tirelessly to put Nola on the comedy map. This project will upgrade our theater and production facilities.,a-bigger-better-home-for-the-new-orleans-comedy-sc,Spaces,10.0,8.0,Sunday,23,5,23,11,27,1,10.819798284210286,0.45054945054945056,5.209486152841421,9.392745258631441,0.8866777747047431,4.406719247264253,0.30120481927710846
Voices From The Future,"A benefit show featuring musicians, dancers & poets all under age 30 to raise money in support of LGBTQ rights and programs.",voices-from-the-future,Spaces,4.0,4.0,Tuesday,12,1,13,14,13,1,6.2166061010848646,0.45054945054945056,5.209486152841421,9.392745258631441,-1.4293871731924168,6.066108090103747,0.42592592592592593
Higher Education,"Support the circus arts and help our aerial students work with more height. With your support, we will install beams at 19ft!",higher-education,Spaces,2.0,2.0,Wednesday,6,1,6,32,60,1,8.115796506439791,0.45054945054945056,5.209486152841421,9.392745258631441,-0.8228362801052879,5.655991810819852,0.6062717770034843
Curtain up at the Shoebox Theatre!,Since October 2015 the Shoebox Theatre has become a hub of creativity - The next step in our journey is to hang stage curtains!,curtain-up-at-the-shoebox-theatre,Spaces,6.0,3.0,Saturday,3,5,3,1,30,1,7.286732719018085,0.45054945054945056,5.209486152841421,9.392745258631441,-1.133339761940933,7.633369649679584,0.3313981615868408
BEEP! BEEP! 2ND STORY IS ON THE MOVE!,"At the end of October 2016, 2nd Story will be moving from its current office space to a storefront space in Albany Park, Chicago, IL.",beep-beep-2nd-story-is-on-the-move,Spaces,8.0,8.0,Monday,23,9,9,24,35,1,8.412054873292933,0.45054945054945056,5.209486152841421,9.392745258631441,-0.6834454633957797,6.19644412779452,0.3475609756097561
"A Performing Arts Complex in Central Square, Cambridge","Help us launch a new performing arts complex in Cambridge! The Thalia provides space for performance, rehearsals, and collaboration!",a-performing-arts-complex-in-central-square-cambri,Spaces,8.0,7.0,Wednesday,17,5,17,43,45,1,9.210440366976517,0.45054945054945056,5.209486152841421,9.392745258631441,-0.16746583128421139,6.066108090103747,0.42592592592592593
The Night Watch,"Antonia Goddard Productions in association with Jethro Compton Productions presents THE NIGHT WATCH, an exciting new historical drama.",the-night-watch,Spaces,3.0,3.0,Monday,11,2,11,66,45,1,6.9698978493080475,0.45054945054945056,5.209486152841421,9.392745258631441,-1.2304727805010705,5.655991810819852,0.6062717770034843
Build a New Home for Improv Comedy in Pittsburgh,Steel City Improv Theater has found a new space in the Shadyside neighborhood of Pittsburgh and we're raising $5000 to build it!,build-a-new-home-for-improv-comedy-in-pittsburgh,Spaces,9.0,6.0,Thursday,18,9,18,3,30,1,8.517393171418904,0.45054945054945056,5.209486152841421,9.392745258631441,-0.628796421640632,5.998936561946683,0.297029702970297
The Other Room – Cardiff’s First Pub Theatre,"Be part of building Cardiff's first pub theatre, located right in the city centre. Launching January 2015.",the-other-room-cardiffs-first-pub-theatre,Spaces,8.0,8.0,Friday,11,4,7,5,28,1,8.347871327283908,0.45054945054945056,5.209486152841421,9.392745258631441,-0.7153361403316746,3.9512437185814275,0.2641509433962264
Help ReNew the Rainbow Stage (& office) for Future Stars,Wavy says let's LIGHT UP THE RAINBOW STAGE and as our stretch reward we'll throw all of us a PARTY!,help-renew-the-rainbow-stage-and-office-for-future,Spaces,10.0,8.0,Wednesday,10,1,10,26,30,1,10.596659732783579,0.45054945054945056,5.209486152841421,9.392745258631441,0.7902350857065874,8.000014093678072,0.374916163648558
A Home for Vegas Theatre Hub,"We have a space! Help us fill it with a stage, chairs, gear and audiences' laughter!",a-home-for-vegas-theatre-hub,Spaces,6.0,5.0,Saturday,1,7,1,9,30,1,8.517393171418904,0.45054945054945056,5.209486152841421,9.392745258631441,-0.628796421640632,4.990432586778736,0.14189189189189189
Ground Floor Theatre,"We're building a new theatre venue in Austin! Austin is growing, but we are losing space for artists- help us keep local theatre alive!",ground-floor-theatre,Spaces,3.0,3.0,Monday,22,10,12,3,28,1,10.308985993422082,0.45054945054945056,5.209486152841421,9.392745258631441,0.6503653161188206,6.80128303447162,0.21666666666666667
Guilford Center Stage Lights Up,Guilford Center Stage is a new project bringing theater to our 1896 Grange; we need to purchase simple theater lighting for our stage.,guilford-center-stage-lights-up,Spaces,5.0,5.0,Monday,12,8,12,6,30,1,7.467942332285852,0.45054945054945056,5.209486152841421,9.392745258631441,-1.073227102805636,3.4339872044851463,0.34375
Blue Thyme Nights,"Blue Thyme Nights is the production of Am I Blue by Beth Henley & Thymus Vulgaris by Lanford  Wilson.

Artwork by Charlotte Ager",blue-thyme-nights,Spaces,3.0,3.0,Monday,16,8,16,5,60,1,7.313886831633462,0.45054945054945056,5.209486152841421,9.392745258631441,-1.124558887696213,7.323170717943469,0.4346965699208443
Silent Valley : A Haunting,"One night only, not-for-profit, neighborhood haunted attraction that will scare your mask off! Coming this Halloween.",silent-valley-a-haunting,Spaces,5.0,5.0,Tuesday,20,8,20,5,30,1,6.90875477931522,0.45054945054945056,5.209486152841421,9.392745258631441,-1.2481783262988706,5.726847747587197,0.16883116883116883
"Stagelights Studio by Pam Kinter, Greensboro",Finally Stagelights will have a space of our very own!  Be a part of this exciting new adventure in Greensboro!!,stagelights-studio-by-pam-kinter-greensboro,Spaces,6.0,5.0,Monday,21,5,21,49,30,1,8.006700845440367,0.45054945054945056,5.209486152841421,9.392745258631441,-0.8696369375808896,5.68697535633982,0.2939189189189189
The Coalition Theater,Help create a permanent home for live comedy shows and classes in Downtown RVA.,the-coalition-theater-0,Spaces,3.0,3.0,Thursday,8,4,8,1,30,1,10.12667110305036,0.45054945054945056,5.209486152841421,9.392745258631441,0.5503881118261807,5.568344503761097,0.23574144486692014
Save the Studio!,Help Synetic Theater create a new Studio to produce amazing  shows in the 2013/14 season and train awesome artists of all ages!,save-the-studio,Spaces,3.0,2.0,Thursday,6,6,13,16,35,1,10.12667110305036,0.45054945054945056,5.209486152841421,9.392745258631441,0.5503881118261807,5.568344503761097,0.23574144486692014
Help SHE&HER PRODUCTIONS raise money for our new space in the West Bottoms!!,"SHE&HER PRODUCTIONS! New Space.. New SHOW! We have a home in KC West Bottoms, the Crane Building. We need your help turning this space into a theater!",help-sheandher-productions-raise-money-for-our-new,Spaces,13.0,9.0,Monday,23,7,16,0,74,1,6.2166061010848646,0.45054945054945056,5.209486152841421,9.392745258631441,-1.4293871731924168,5.19295685089021,0.2596685082872928
Overtime Theater Spruce Up,"Our little theater needs some love. We took over a lab and need to make our space look more inviting and well, like a theater!",overtime-theater-spruce-up,Spaces,4.0,4.0,Monday,0,11,0,43,60,1,6.90875477931522,0.45054945054945056,5.209486152841421,9.392745258631441,-1.2481783262988706,6.80128303447162,0.21666666666666667
Shelter the Schmee,"After 22 yrs downstairs we are ""getting out of  our parents basement"" and building a new 50 seat theater in a new location.",shelter-the-schmee,Spaces,3.0,2.0,Monday,1,11,13,10,26,1,9.90353755128617,0.45054945054945056,5.209486152841421,9.392745258631441,0.4126342103437671,6.148468295917647,0.31982942430703626
Jayhawk Makeover,"48 hours of deck screws, dry wall, hard hats and needed renovation to help the Jayhawk rise from the ashes.",jayhawk-makeover,Spaces,2.0,2.0,Monday,18,6,14,0,4,1,8.006700845440367,0.45054945054945056,5.209486152841421,9.392745258631441,-0.8696369375808896,4.31748811353631,0.19736842105263158
Lend a Hand in Our Home,Privet! Hello! Bon Jour! We are the Arlekin Players Theatre and we need a home.,lend-a-hand-in-our-home,Spaces,6.0,4.0,Monday,14,12,14,15,30,1,9.024131268455035,0.45054945054945056,5.209486152841421,9.392745258631441,-0.31379854173770805,6.066108090103747,0.42592592592592593
HOPE MILL THEATRE - CHAIR FUND,Hope Mill Theatre is a brand new Fringe Theatre in the heart of Manchester city - bringing a diverse programme of entertainment!,hope-mill-theatre-chair-fund,Spaces,6.0,6.0,Sunday,11,7,11,47,30,1,7.730372895131052,0.45054945054945056,5.209486152841421,9.392745258631441,-0.9792175912950494,7.633369649679584,0.3313981615868408
Like This Post (The Post at 750),Introducing The Post at 750! Join us in the creation of Vancouver's most exciting new cultural space in the heart of downtown.,like-this-post-the-post-at-750,Spaces,7.0,6.0,Thursday,21,3,20,6,27,1,9.369719971429905,0.45054945054945056,5.209486152841421,9.392745258631441,-0.02276420533606625,5.293304824724492,0.225
Minnsky's Theater- A Vaudeville Circus Experiment,Minnsky's - a theater in the Minneapolis NE Arts District that will harken back to a time of Vaudeville and Circus Entertainment!,minnskys-theater-a-vaudeville-circus-experiment,Spaces,6.0,6.0,Monday,11,5,11,255,15,1,9.392745258631441,0.45054945054945056,5.209486152841421,9.392745258631441,0.0,5.5134287461649825,0.30522088353413657
Colorado ACTS Black Box Painting,"Walmart decided they wanted our space, so we had to move to a new theater. Help us make it an awesome space by painting it all black!",colorado-acts-black-box-painting,Spaces,5.0,5.0,Tuesday,22,6,22,32,30,1,8.294299608857235,0.45054945054945056,5.209486152841421,9.392745258631441,-0.7411969038965217,5.958424693029782,0.2912371134020619
"improvMANIA Improv Comedy Theater - Chandler, Arizona","Your opportunity to help improvMANIA open Chandler, Arizona's new home for family-friendly improv comedy in Historic Downtown Chandler!",improvmania-improv-comedy-theater-chandler-arizona,Spaces,7.0,7.0,Monday,23,7,14,27,29,1,8.974744612722734,0.45054945054945056,5.209486152841421,9.392745258631441,-0.34924788361667763,5.726847747587197,0.16883116883116883
New Comedy Venue and Training Facility,Get Scene Studios and Highwire Comedy Co. creating an amazing training facility and theater for Atlanta comedy and film talent!,new-comedy-venue-and-training-facility,Spaces,6.0,5.0,Monday,16,12,16,193,30,1,8.88391747120797,0.45054945054945056,5.209486152841421,9.392745258631441,-0.4113330496306155,5.808142489980444,0.18862275449101795
"Help Fund the ""Back Room"" Arts Space at Jimmy's No 43!",Make the workshop/ small stage space at Jimmy's No 43 even better than before!,help-fund-the-back-room-arts-space-at-jimmys-no-43,Spaces,11.0,9.0,Monday,14,9,14,61,30,1,8.853808274977197,0.45054945054945056,5.209486152841421,9.392745258631441,-0.4310919077248811,7.323170717943469,0.4346965699208443
Outskirts Theatre Co. Finds a Home!,"We finally found a place to call home! Help us move in to (and collaborate with) the NEW Fischer Creative Arts Center in Waukesha, WI!",outskirts-theatre-co-finds-a-home,Spaces,6.0,5.0,Friday,23,1,14,21,31,1,8.006700845440367,0.45054945054945056,5.209486152841421,9.392745258631441,-0.8696369375808896,4.941642422609304,0.3191489361702128
Save the Agawam Cinemas,The Agawam Cinemas is to be successfully reopened by new ownership and the twin theaters must be converted to digital projection.,save-the-agawam-cinemas,Spaces,4.0,3.0,Thursday,16,8,16,63,30,1,10.596659732783579,0.45054945054945056,5.209486152841421,9.392745258631441,0.7902350857065874,6.066108090103747,0.42592592592592593
Pangea House Revitalization Project,"Pangea House is a collectively run, all ages music venue and community space in desperate need of some renovation and updates.",pangea-house-revitalization-project,Spaces,4.0,4.0,Saturday,11,8,11,16,30,1,9.268703615273097,0.45054945054945056,5.209486152841421,9.392745258631441,-0.11693080003638891,3.2188758248682006,0.2692307692307692
ONTARIO STREET THEATRE in Port Hope.,We're an affordable theatre and rental space that can be molded into anything by anyone.,ontario-street-theatre-in-port-hope,Spaces,6.0,5.0,Friday,12,11,12,1,30,1,8.86337441718165,0.45054945054945056,5.209486152841421,9.392745258631441,-0.4248564360936796,6.129050210060545,0.24782608695652175
Bethlem,Consuite for 2015 CoreCon.  An adventure into insanity.,bethlem,Spaces,1.0,1.0,Saturday,0,4,0,1,21,1,6.398594934535208,0.45054945054945056,5.209486152841421,9.392745258631441,-1.3848308717656301,3.2188758248682006,0.2692307692307692
Baby It's Cold Outside: Silver Spring Stage HVAC Fund!,Help fund Silver Spring Stage's HVAC costs for the upcoming year! Don't leave us out in the cold (pun intended)!,baby-its-cold-outside-silver-spring-stage-hvac-fun,Spaces,9.0,9.0,Monday,23,12,23,0,30,1,8.006700845440367,0.45054945054945056,5.209486152841421,9.392745258631441,-0.8696369375808896,5.25227342804663,0.2604166666666667
Montauk Surf Museum,"The Montauk Surf Museum will present ocean science, as well as the art and history of surfing to visitors and schools in creative ways.",montauk-surf-museum,Spaces,3.0,3.0,Monday,8,8,8,86,30,1,10.12667110305036,0.45054945054945056,5.209486152841421,9.392745258631441,0.5503881118261807,7.323170717943469,0.4346965699208443
Curious Comedy's Remodel & Technical Equipment Upgrade,Help Curious Comedy evolve into an independent comedy theater with a complete professional digital production studio built right in.,curious-comedys-remodel-and-technical-equipment-up,Spaces,7.0,7.0,Wednesday,19,8,2,29,28,1,10.12667110305036,0.45054945054945056,5.209486152841421,9.392745258631441,0.5503881118261807,5.634789603169249,0.31316725978647686
Put Your Money Where Your Ear Is!,STC & the Sheboygan Area School District are working tirelessly to renovate our 30-year-old sound system. Help us sound better for you!,put-your-money-where-your-ear-is,Spaces,7.0,7.0,Tuesday,13,12,13,19,60,1,7.313886831633462,0.45054945054945056,5.209486152841421,9.392745258631441,-1.124558887696213,4.941642422609304,0.3191489361702128
Katharsis Teatro en Navidad,Necesitamos tu ayuda para poder llevar la magia del teatro universitario al Teatro Lagrada de Madrid el 23 de diciembre :),katharsis-teatro-en-navidad,Spaces,4.0,4.0,Thursday,16,11,5,0,27,1,5.771794213434272,0.45054945054945056,5.209486152841421,9.392745258631441,-1.530600537847414,4.02535169073515,0.14035087719298245
Up-lifting Up-Fit!,Spring Theatre has recently found a new home in the heart of Winston Salem. We need your help for an up-lifting up-fit!,up-lifting-up-fit,Spaces,2.0,2.0,Tuesday,10,1,10,3,21,1,8.294299608857235,0.45054945054945056,5.209486152841421,9.392745258631441,-0.7411969038965217,5.68697535633982,0.2939189189189189
"Barebones Black Box Theater in Braddock, PA","Barebones Productions is developing a new theater and performance facility in Braddock, Pa. ""The barebones black box""",barebones-black-box-theater-in-braddock-pa,Spaces,7.0,6.0,Friday,15,5,15,16,30,1,9.210440366976517,0.45054945054945056,5.209486152841421,9.392745258631441,-0.16746583128421139,5.998936561946683,0.297029702970297
The North Pole at the Fair - A Christmas Paradise for kids.,Help build an immersion experience for kids to have fun with Santa and make their Christmas season shine just a little bit brighter.,the-north-pole-at-the-fair-a-christmas-paradise-fo,Spaces,12.0,9.0,Tuesday,23,10,21,5,28,1,10.12667110305036,0.45054945054945056,5.209486152841421,9.392745258631441,0.5503881118261807,6.148468295917647,0.31982942430703626
A Sign for 34 West,We're turning an old yogurt shop into a live theater in downtown Charleston.   Please help us hang our sign!,a-sign-for-34-west,Spaces,5.0,4.0,Monday,23,5,12,10,15,1,8.131824785007195,0.45054945054945056,5.209486152841421,9.392745258631441,-0.8157720195787248,4.406719247264253,0.24096385542168675
Let there be sound! A sound and hearing assistance system,Let there be sound! Make our new theatre more accessible by installing a modern sound and hearing assistance system for our audience.,let-there-be-sound-a-sound-and-hearing-assistance,Spaces,10.0,7.0,Monday,8,9,8,248,60,1,9.04793908261736,0.45054945054945056,5.209486152841421,9.392745258631441,-0.2962498956166561,3.4339872044851463,0.34375
ACT's Spotlight Initiative- Let's Build a Theater!,"Help us build a 200 seat theater and classroom space in North Andover, MA. Let's get kids off the screens, and into the spotlight!",acts-spotlight-initiative-lets-build-a-theater,Spaces,7.0,6.0,Monday,15,5,15,65,30,1,9.99884318585288,0.45054945054945056,5.209486152841421,9.392745258631441,0.47380758951956536,6.066108090103747,0.42592592592592593
Why Theatre,"Le projet vise la création d’un lieu de résidence, recherche et formation dédié à l'art vivant, l'image et la narration.",why-theatre,Spaces,2.0,2.0,Monday,17,5,2,17,42,1,8.44863233831019,0.45054945054945056,5.209486152841421,9.392745258631441,-0.6648057909362926,4.859812404361672,0.3153846153846154
"Small town theatre, the Gibson Theatre goes Digital",We plan to transition from 35mm to the new digital projection format to continue to show current first run films for our community.,small-town-theatre-the-gibson-theatre-goes-digital,Spaces,8.0,7.0,Tuesday,22,4,15,4,27,1,9.61587214452889,0.45054945054945056,5.209486152841421,9.392745258631441,0.20141060103513836,5.0369526024136295,0.2
Prime Stage Theater Studio Upgrades!,Any donation--big or small--will help us upgrade our studio/rehearsal space into a black box theater and offer even more programs.,prime-stage-theater-studio-upgrades,Spaces,5.0,5.0,Monday,15,4,15,46,60,1,8.853808274977197,0.45054945054945056,5.209486152841421,9.392745258631441,-0.4310919077248811,5.998936561946683,0.297029702970297
December Match Campaign,"By matching donations up to $5000, Jack Kesler and Maurice Richards have challenged YOU to help Urbanite outfit their brand new space.",december-match-campaign,Spaces,3.0,3.0,Tuesday,15,11,15,6,28,1,8.517393171418904,0.45054945054945056,5.209486152841421,9.392745258631441,-0.628796421640632,6.71174039505618,0.17496962332928312
Pickerington Community Theatre's Set Capabilities Expansion,Pickerington Community Theatre is seeking donations to purchase a Pipe & Drape system to increase staging possibilities for the company,pickerington-community-theatres-set-capibilities-e,Spaces,6.0,6.0,Thursday,19,4,19,24,30,1,8.229777750081887,0.45054945054945056,5.209486152841421,9.392745258631441,-0.7714811253830888,5.707110264748875,0.23509933774834438
The Black Pearl Consuite at CoreCon VIII: On Ancient Seas,Help fund The Black Pearl Consuite at CoreCon VIII: On Ancient Seas!,the-black-pearl-consuite-at-corecon-viii-on-ancien,Spaces,10.0,9.0,Monday,23,3,23,13,30,1,6.398594934535208,0.45054945054945056,5.209486152841421,9.392745258631441,-1.3848308717656301,3.2188758248682006,0.2692307692307692
Acting V Senior Showcase,Hi! We're the Graduating Seniors Acting V Seniors at Temple University! Welcome to our Kick starter Page!,acting-v-senior-showcase,Spaces,4.0,4.0,Monday,8,3,18,6,43,1,6.2166061010848646,0.45054945054945056,5.209486152841421,9.392745258631441,-1.4293871731924168,7.323170717943469,0.4346965699208443
Jon Udry's ABC Tour,The ABC tour: 26 comedy-juggling shows in 26 different venues - chosen by YOU - each beginning with a different letter of the alphabet.,jon-udrys-abc-tour,Spaces,4.0,4.0,Monday,3,12,3,17,30,0,8.366545706064848,0.45054945054945056,5.209486152841421,9.392745258631441,-0.7061618968135055,7.633369649679584,0.3313981615868408
Join us in creating a new Hell on Earth!,"We desire to purchase a portion of Hell, in Michigan just outside of Detroit, to create a world-class performance art space.  Join us.",help-us-create-hell-20-on-earth,Spaces,9.0,6.0,Friday,11,2,11,0,30,0,14.103442849108747,0.45054945054945056,5.209486152841421,9.392745258631441,1.7423411861667761,5.598421958998375,0.19557195571955718
Global Community Theater One.,"Sustainable, fire-proof, carbon-negative, and all-season recreation of the Globe Theater made famous by Shakespeare, with gardens.",global-community-theater-one,Spaces,4.0,4.0,Monday,19,10,19,0,60,0,14.508658238524095,0.45054945054945056,5.209486152841421,9.392745258631441,1.8108940596942809,5.5134287461649825,0.30522088353413657
Help! World Tour ~ A Theatrical Revival of Hope,Help! is a full scale mobile theatrical musical bringing a Gospel revival through a story of love and hope to communities world wide.,help-world-tour-a-theatrical-revival-of-hope,Spaces,9.0,8.0,Thursday,23,7,23,37,30,0,13.815511557963774,0.45054945054945056,5.209486152841421,9.392745258631441,1.6906060725789307,5.958424693029782,0.2912371134020619
"Magical Workshop, Magic/Hobby Store","Help expand the time of everyones favorite magic store!  It currently limited to 3 days a week. If not for you, then the children!",magical-workshop-magic-hobby-store,Spaces,4.0,4.0,Friday,17,10,17,2,30,0,9.105090961257085,0.45054945054945056,5.209486152841421,9.392745258631441,-0.25282218899606007,6.80128303447162,0.21666666666666667
Crystal City Haunted Undergound,"Crystal City Underground is a New & Unique
indoor recreational facility, using an old silica sand mine,
we are the Haunted Maze",crystal-city-haunted-undergound,Spaces,4.0,4.0,Saturday,0,5,8,64,29,0,9.90353755128617,0.45054945054945056,5.209486152841421,9.392745258631441,0.4126342103437671,5.19295685089021,0.2596685082872928
URGENT: Help Us Replace Our Ramp!,"18-yr-old handicap-access ramp collapsed, must replace. Help fund & ensure everyone access to our 35-seat non-profit community theater!",urgent-help-us-replace-our-ramp,Spaces,6.0,6.0,Monday,13,4,12,0,29,0,8.308938252595778,0.45054945054945056,5.209486152841421,9.392745258631441,-0.7341965121342922,6.71174039505618,0.17496962332928312
Paper Tank Theater Music Madness Party,Get behind a new music venue in our city by helping with equipment! We're pre-selling tickets to our party and offering other perks.,paper-tank-theater-music-madness-party,Spaces,6.0,6.0,Sunday,16,6,16,61,30,0,10.12667110305036,0.45054945054945056,5.209486152841421,9.392745258631441,0.5503881118261807,5.634789603169249,0.31316725978647686
"""Un parco di Risate"" - open air theatre to save TKC",A memorable theatre experience in the middle of Genoa's old town. Summer is coming and we have no intention to stop making you laugh.,un-parco-di-risate-open-air-theatre-to-save-tkc,Spaces,11.0,10.0,Thursday,11,6,11,1,60,0,10.021669326463618,0.45054945054945056,5.209486152841421,9.392745258631441,0.48791971578468296,1.9459101490553132,0.125
Read/Rehearse/Workshop Plays at Austin Playwrights Studio,"Austin's ""Full Service Rehearsal Space"", APS is a comfortable, convenient place for the theater community to develop scripted plays.",read-rehearse-workshop-plays-at-austin-playwrights,Spaces,6.0,5.0,Friday,22,3,22,220,60,0,9.90353755128617,0.45054945054945056,5.209486152841421,9.392745258631441,0.4126342103437671,6.80128303447162,0.21666666666666667
"Destination Small Town ""Visitor Center"" To The Midwest",We believe it's time to open a visitor's center that highlights the small towns of the upper Midwest.,destination-small-town-visitor-center-to-the-midwe,Spaces,8.0,8.0,Monday,7,12,7,6,30,0,11.082157933374816,0.45054945054945056,5.209486152841421,9.392745258631441,0.9893228332482319,5.5134287461649825,0.30522088353413657
The ClubHouse: A Community-Focused Sports & Culture Space,"A community space in Somerville, MA to celebrate the beautiful intersection of sports and creativity.",the-clubhouse-a-community-focused-sports-and-cultu,Spaces,8.0,8.0,Tuesday,20,1,8,151,31,0,10.12667110305036,0.45054945054945056,5.209486152841421,9.392745258631441,0.5503881118261807,6.066108090103747,0.42592592592592593
Save the Stage,"To create a space by restoring a historic church in Burlington, Ky where community theater, dance and music and art can be performed.",save-the-stage,Spaces,3.0,2.0,Monday,13,2,13,2,60,0,12.323860125621126,0.45054945054945056,5.209486152841421,9.392745258631441,1.3689230668191341,4.343805421853684,0.20512820512820512
Bustduck Theatre,"Roanoke, Virginia's first long-form improv theatre company. Producing improv and scripted theatre, with a dynamic training program.",bustduck-theatre,Spaces,2.0,2.0,Friday,17,7,17,2,30,0,8.517393171418904,0.45054945054945056,5.209486152841421,9.392745258631441,-0.628796421640632,5.568344503761097,0.23574144486692014
A home for the arts on the Upper East Side/Yorkville,Our goal is to purchase a theater on the Upper East Side of Manhattan that will act as a home for four theater companies.,a-home-for-the-arts-on-the-upper-east-side-yorkvil,Spaces,10.0,6.0,Tuesday,17,8,9,31,37,0,11.51293546492023,0.45054945054945056,5.209486152841421,9.392745258631441,1.1378939635172878,7.323170717943469,0.4346965699208443
Theatre of the Black Butterfly's POOL (NO WATER),"Jump in the deep end of the provocative and darkly humourous, POOL (NO WATER)...to be performed in a Pool!  Directed by Gordon McCall.",theatre-of-the-black-butterflys-pool-no-water,Spaces,8.0,6.0,Thursday,22,4,16,20,30,0,8.20242383663983,0.45054945054945056,5.209486152841421,9.392745258631441,-0.7840483010917343,5.303304908059076,0.24752475247524752
Nothing Up My Sleeves Tour: Summer 2016,"This is a Kickstarter to help with the start up costs for Illusionist, Chris Lengyel's Summer 2016 Tour!",nothing-up-my-sleeves-tour-summer-2016,Spaces,7.0,7.0,Wednesday,14,7,14,14,60,0,11.51293546492023,0.45054945054945056,5.209486152841421,9.392745258631441,1.1378939635172878,4.804021044733257,0.2682926829268293
The Old Howard Theatre Company,We are a small theatre company looking to provide world class theatre to the working class in the Greater New York area.,the-old-howard-theatre-company,Spaces,5.0,5.0,Wednesday,19,6,19,0,60,0,9.610524895640422,0.45054945054945056,5.209486152841421,9.392745258631441,0.19702923092343605,7.323170717943469,0.4346965699208443
LaPorte Institute for Dramatic and Creative Arts,To create a learning center for acting and all art types including anything that expresses the emotion of the human spirit.,laporte-academy-for-dramatic-and-creative-arts,Spaces,7.0,5.0,Monday,14,4,14,9,30,0,9.90353755128617,0.45054945054945056,5.209486152841421,9.392745258631441,0.4126342103437671,5.0369526024136295,0.2
